Epoch,Train Loss,Val Loss,Learning Rate,Time (s)
1,7.488615536053976,6.625642023722331,6.349908656277929e-07,657.51433634758
2,6.267323302427927,5.877049359639486,1.316954834624296e-06,527.0631320476532
3,5.705105011622111,5.438305159250895,2.37911886390557e-06,511.2975852489472
1,7.400970088322957,6.478782821208872,6.349908656277929e-07,313.45293045043945
2,6.134221120198568,5.74257674623043,1.316954834624296e-06,176.2673008441925
3,5.590249482472737,5.289033833970415,2.37911886390557e-06,177.05481719970703
4,5.189015125910441,4.963995400895464,3.717483434855153e-06,314.54243779182434
5,4.888150833765666,4.745853774091031,5.201005443700957e-06,180.26624417305
6,4.685051802317301,4.574998251935269,6.6844290066777495e-06,179.16930770874023
7,4.520154916763306,4.462580954774897,8.022507879136955e-06,179.44476509094238
8,4.405247329076131,4.366119613038733,9.08422693086297e-06,179.4892270565033
9,4.298513370196025,4.31561534455482,9.765630212264704e-06,180.09274816513062
10,4.212586510976156,4.255901420370061,9.9999999945846e-06,179.7482099533081
11,4.1392633215586345,4.191895624424549,9.996946020417665e-06,179.09088277816772
12,4.076387205123901,4.165879508282276,9.987804061612294e-06,179.70958042144775
13,4.016804399808248,4.14074909940679,9.972585256237088e-06,180.0897376537323
14,3.9645899254481,4.120498715563024,9.951308146062117e-06,179.25558710098267
15,3.912370045979818,4.090410468426157,9.923998653968636e-06,180.5652108192444
16,3.875424007733663,4.066695614063994,9.890690052366065e-06,179.03742694854736
17,3.8355915552775066,4.046133180882069,9.851422922654652e-06,181.9357364177704
18,3.7984113470713297,4.030318813121065,9.806245105783318e-06,180.35442757606504
19,3.765375322024028,4.024948645145335,9.755211643962812e-06,180.16005039215088
20,3.7271467781066896,4.013496028616073,9.698384713605256e-06,179.16602873802185
21,3.694494721094767,3.997326396881266,9.635833549571777e-06,179.19696617126465
22,3.660761041959127,3.978830474488279,9.567634360820478e-06,179.68969416618347
23,3.627917964935303,3.992523751360305,9.493870237557577e-06,179.66026306152344
24,3.6020553795496624,3.9896584495585015,9.414631050004774e-06,179.17370653152466
25,3.576516404787699,3.969999868819054,9.330013338906242e-06,180.1706519126892
26,3.554997402191162,3.986118651450949,9.240120197908595e-06,179.22084307670593
27,3.5224421072006225,3.976186435273353,9.145061147957166e-06,180.3847982883453
28,3.491424599965413,3.958676117531797,9.04495200386159e-06,179.5992431640625
29,3.464742167154948,3.989835340925988,8.939914733193319e-06,179.40448689460754
30,3.441678189277649,3.962781259354125,8.830077307686913e-06,180.0025041103363
31,3.4116551548639933,3.964647133299645,8.71557354732619e-06,177.59549522399902
32,3.391615315437317,3.9779648045276073,8.5965429573052e-06,180.15704107284543
33,3.364684910774231,3.987441605709969,8.473130558062623e-06,180.60166931152344
34,3.341808798154195,3.9866359360674593,8.345486708596718e-06,180.5213975906372
35,3.311787206967672,3.981724264773917,8.213766923276029e-06,180.55969977378845
36,3.2961392561594645,3.960989475250244,8.078131682369091e-06,181.4581756591797
37,3.265895286560059,3.964977500286508,7.938746236523945e-06,180.5306527614593
38,3.240590459505717,3.990305672300623,7.795780405435669e-06,183.13525533676147
39,3.2256033697128297,3.9749630283802113,7.649408370947244e-06,183.2023000717163
40,3.19739367834727,4.00443985360734,7.499808464835815e-06,185.03754258155823
41,3.177460446039836,4.003639515410078,7.347162951542877e-06,182.60187292099
42,3.143733130455017,3.986954133561317,7.19165780611314e-06,185.3210892677307
43,3.131534081459045,3.9968123740338255,7.033482487612577e-06,185.2385566234589
44,3.103383165359497,3.982527113975362,6.872829708301742e-06,184.9271924495697
45,3.080685524304708,4.0028013802589255,6.709895198845562e-06,182.3149311542511
46,3.055120844523112,3.987076835429415,6.544877469845672e-06,185.4306325912476
47,3.0364591846466062,3.9989803928010006,6.377977569985825e-06,181.6945559978485
48,3.01176329390208,4.015992745440057,6.209398841085044e-06,181.09491062164307
49,2.991377247810364,4.028395307824967,6.0393466703569295e-06,181.5756800174713
50,2.964304892857869,4.02630685238128,5.868028240176985e-06,181.047189950943
51,2.943819569269816,4.019159174980001,5.695652275662806e-06,180.86512422561648
52,2.9240185845692954,4.045819383986453,5.522428790374669e-06,183.57617044448853
53,2.904703062693278,4.053535915435629,5.348568830446365e-06,182.0965986251831
1,7.469085782210032,6.619381519317627,6.349908656277929e-07,557.0435013771057
2,6.251016427199046,5.85300713857015,1.316954834624296e-06,537.2453939914703
